Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,1C5dD6b45daEA89,Nicholson-Patel,https://www.santana.com/,Belize,Vision-oriented motivating access,1977,Capital Markets / Hedge Fund / Private Equity,2042
2,6db55f0FB43587E,Bender Group,https://bray.com/,Korea,Proactive client-server initiative,1991,Wine / Spirits,6858
3,AFce0E73cdD9eda,Banks-Fletcher,https://goodwin.com/,Malawi,Profit-focused exuding encryption,1970,Mining / Metals,3843
4,da164D72178140b,Sullivan-Miranda,http://www.santana-johnston.com/,Jordan,Future-proofed motivating methodology,1993,Writing / Editing,1092
5,3f4C29fBD260CA1,"Gentry, Reed and Conway",http://compton.net/,Cyprus,Face-to-face dynamic data-warehouse,2007,Consumer Electronics,2266
6,d25BCFbE31f9ebe,Dickson PLC,https://mccarty-logan.com/,Macedonia,Face-to-face 24hour focus group,1990,Recreational Facilities / Services,2344
7,453a5DdDfCEcCFC,"Coleman, Hodges and Johnston",http://www.kennedy.com/,Chad,Synchronized client-server complexity,1976,Oil / Energy / Solar / Greentech,1978
8,9E0a7eE79264bAC,"Brewer, Silva and Moran",http://www.stewart.com/,Turkey,Stand-alone dynamic capacity,2020,Arts / Crafts,8554
9,dB503EC7DAc2C61,"Wiley, Johnson and Lowery",http://www.murphy-brewer.com/,Armenia,Configurable fresh-thinking software,2011,Information Technology / IT,6534
10,883b8a306b903B3,Hunter-Santana,http://www.spence.com/,India,Inverse dynamic database,2002,Management Consulting,3047
